word,definition,example
wayward,Resistant to guidance or discipline.,Mary Mary quite contrary
blurb,A promotional statement (as found on the dust jackets of books).,the author got all his friends to write blurbs for his book
provincial,(roman catholic church) an official in charge of an ecclesiastical province acting under the superior general of a religious order.,the general of the Jesuits receives monthly reports from the provincials
indolent,Disinclined to work or exertion.,faineant kings under whose rule the country languished
indolently,In an indolent manner.,he lives indolently with his relatives
indolence,Inactivity resulting from a dislike of work.,
taste-maker,Someone who popularizes a new fashion.,
deviant,A person whose behavior deviates from what is acceptable especially in sexual behavior.,
deviantly,,
engender,Call forth.,
emolument,Compensation received by virtue of holding an office or having employment (usually in the form of wages or fees).,a clause in the U.S. constitution prevents sitting legislators from receiving emoluments from their own votes
munificence,Liberality in bestowing gifts; extremely liberal and generous of spirit.,
posterity,All of the offspring of a given progenitor.,we must secure the benefits of freedom for ourselves and our posterity
venomous,Extremely poisonous or injurious; producing venom.,venomous snakes
venomously,In a very malevolent manner.,
choreography,A show involving artistic dancing.,
choreographical,,
archetype,Something that serves as a model or a basis for making copies.,this painting is a copy of the original
archetypal,Representing or constituting an original type after which other similar things are patterned.,archetypal patterns
dissension,Disagreement among those expected to cooperate.,
exalted,"Praise, glorify, or honor.",extol the virtues of one's children
exaltedly,,
adept,Someone who is dazzlingly skilled in any field.,
hitherto,Used in negative statement to describe a situation that has existed up to this point or up to the present time.,So far he hasn't called
angst,An acute but unspecific feeling of anxiety; usually reserved for philosophical anxiety about the world or about personal freedom.,
angsty,,
drabness,Having a drab or dowdy quality; lacking stylishness or elegance.,
melodious,Having a musical sound; especially a pleasing tune.,
melodiously,In a melodious manner.,she sang melodiously
magpie,Long-tailed black-and-white crow that utters a raucous chattering call.,
melancholy,A feeling of thoughtful sadness.,
meteorology,Predicting what the weather will be.,
meteorological,"Of or pertaining to atmospheric phenomena, especially weather and weather conditions.",meteorological factors
brink,A region marking a boundary.,
unsurpassed,Not capable of being improved on.,
loiter,Be about.,The high school students like to loiter in the Central Square
topple,"Fall down, as if collapsing.",The tower of the World Trade Center tumbled after the plane hit it
intrinsic,Belonging to a thing by its very nature; - john dewey.,"form was treated as something intrinsic, as the very essence of the thing"
intrinsically,With respect to its inherent nature.,this statement is interesting per se
merit,Any admirable quality or attribute.,work of great merit
promotable,,
clinch,(boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily.,
anonymity,The state of being anonymous.,
splinter,A small thin sharp bit or wood or glass or metal.,he got a splinter in his finger
reproach,A mild rebuke or criticism.,words of reproach
disseminate,Cause to become widely known.,spread information
dissemination,The opening of a subject to widespread discussion and debate.,
dissemble,Make believe with the intent to deceive.,He feigned that he was ill
mangle,Clothes dryer for drying and ironing laundry by passing it between two heavy heated rollers.,
bereft,Unhappy in love; suffering from unrequited love.,
bereftly,,
solipsism,(philosophy) the philosophical theory that the self is all that you know to exist.,
soliloquize,Talk to oneself.,
mutinous,Disposed to or in a state of mutiny.,the men became mutinous and insubordinate
mutinously,,
prissy,Exaggeratedly proper.,my straitlaced Aunt Anna doesn't approve of my miniskirts
reptilian,"Any cold-blooded vertebrate of the class reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms.",
diminish,"Decrease in size, extent, or range.",The amount of homework decreased towards the end of the semester
undiminishing,,
contagion,Any disease easily transmitted by contact.,
homestead,The home and adjacent grounds occupied by a family.,
computerize/computerise,Provide with computers.,Our office is fully computerized now
incumbent,The official who holds an office.,
recumbent,Lying down; in a position of comfort or rest.,
nonchalant,Marked by blithe unconcern.,an ability to interest casual students
nonchalantly,In a composed and unconcerned manner.,without more ado Barker borrowed a knife from his brigade Major and honed it on a carborundum stone as coolly as a butcher
mesmeric,Attracting and holding interest as if by a spell.,read the bedtime story in a hypnotic voice
stultify,Prove to be of unsound mind or demonstrate someone's incompetence.,nobody is legally allowed to stultify himself
stultifyingly,,
wallow,A puddle where animals go to wallow.,
ponderous,Slow and laborious because of weight.,the heavy tread of tired troops
ponderously,In an uninterestingly ponderous manner.,the play was staged with ponderously realistic sets
